client_name,client_job,review_name,data_review,période_utilisation,comment,avantages,inconvénients,Country,sentiment,label,score;;;
"Romain,Operations excellence Lead (France),Logiciel accessible,il y a 3 mois,  + 2 ans,Je recommande vivement l'utilisation d'Odoo dans les sociétés qui souhaitent digitaliser et améliorer leurs process. La clé d'une intégration réussie c'est de trouver un moyen de faire fonctionner le plus possible ses process dans les fonctionnalités standard d'Odoo. De cette façon on s'évite les développements et des prises de risque sur la stabilité de la solution.,""Odoo propose des fonctionnalités très larges pour couvrir une large spectre de métiers de l'entreprise et permettre leur digitalisation: son implémentation nous a permis de doubler de taille tout en conservant une équipe Supply Chain de taille constante. Cela en améliorant tous nos indicateurs de performance et avec un budget très limité. Depuis 2022 la nouvelle tarification permet d'ajouter autant d'applications que souhaité ce qui évite de trop réfléchir lorsque l'on souhaite tester une nouvelle application. L'outil est facile à utiliser au quotidien, et avec un peu de patience il est globalement facile à administrer. Contrairement à de nombreux autres outils, il est très facile de faire évoluer la solution sans accompagnement extérieur. J'ai dû faire 3 tickets de support en bientôt 3 ans d'utilisation."",""Le logiciel est économique si on reste sur une utilisation très standard. Dès lors que l'on souhaite créer des développements il faut trouver un partenaire Odoo de qualité. Cela peut être compliqué, et potentiellement coûteux. Odoo nécessite du temps pour bien maîtriser l'administration, mais il existe beaucoup de ressources pour apprendre."",France,positive,1.0,5";;;
Bastien,Project leader (France),Odoo une solution qui vous accompagne de façon simple à moindre cout,il y a 9 mois,  + 1 ans,Odoo a permit d'avoir un CRM à moindre cout,Je trouve que Odoo une fois pris en main était un produit simple. Il fallait bien comprendre comment il fonctionne lors de commentaire sur les comptes ou les contacts.Une fois une bonne prise en main cela est simple.,Quand on passe d'un CRM à un autre il est toujours compliqué de trouver les fonctionnalités identique.nous avons eu un peu de mal a passé les commerciaux sur l'utilisation du produit.,France,positive,1.0,5;;;
Adama,Consultant (Burkina Faso),Rapidité et adaptabilité,il y a 6 mois,  + 2 ans,Permet de repondre en un temps record la demande du client et permet de gagner la confiance des partenaires qui sont satisfaits après utilisations.,La personnalisation permet de gagner en temps de réalisation apès l'analyse et la conception. Editeur intégré pour les lignes de codes HTML/CSS JS .,Difficile d'hebergé après un développement en local pour les non experimentés.,Burkina Faso,positive,1.0,5;;;
"Antoine,Administrateur délégué (Belgique),Danger,il y a 2 ans,  + 2 ans,Logiciel dangereux si vous lui confiez la gestion de votre entreprise et que vous ne disposez pas en interne des experts capables de surveiller les interventions de leurs techniciens sur vos données.,Son coté Open source qui devrait permettre a d'autres d'intervenir. Mais c'est un leurre la complexité du programme est tellement conséquente que l'on doit s'en remettre à des professionnels mafieux.,""Pétaudière au niveau des variables à paramètrer Impossibilité d'exporter certain champs sans passer par les variables. Service support interne incompétent et capable de bousiller la base de donner puis de proposer des services pack couteux + de 15000 € pour réparer leurs bêtises. Dernier en date, logiciel déposé sur leur serveur et ils désactivent sans aucune demande de ma part certaines fonctionnalités, puis prétendent que c'est moi qui les ai désactivées alors que je n'ai ni les codes d'accès ni les compétences. Il me reste à prendre un service pack pour réparer des modifications qu'ils ont faites. Des mafieux."",Belgique,negative,-1.0,5";;;
koffi Évariste,web master (Côte d’Ivoire),odoo logiciel de festion de facturation et ERR,il y a 6 mois,  + 2 ans,concu des module de comptabilite des clients,permet de creer des module de gestion comme la comptabilité et le personnel,maitriser a la base le langage python avant toute manupulation,Côte d’Ivoire,positive,1.0,5;;;
"Mohammed Ben Abasse,gérant (Burkina Faso),Odoo,il y a 10 mois,  + 1 ans,""Odoo est un outil puissant qui peut aider les entreprises à améliorer leur efficacité et leur rentabilité, mais il ne peut pas être considéré comme une solution universelle pour tous les problèmes d'une entreprise"",les fonctionnalité qui ont le plus d'impact sont les fonctionnalités de : - gestion de vente- gestion de la chaine d'approvisionnement- gestion de projet- gestion de comptabilité- gestion de ressource de ressource humaines Le produit est très facile a utiliser et je n'ai pu as de problème particulier,""je dois avouer que j'apprécie Odoo sur tous les aspects, et je n'ai pas vraiment rencontré de points négatifs significatifs. Bien sûr, chaque entreprise a des besoins spécifiques, mais personnellement, je trouve qu'Odoo est une solution très complète qui offre une large gamme de fonctionnalités et qui peut être personnalisée pour répondre à ces besoins"",Burkina Faso,positive,1.0,5";;;
Denis,Consultant ERP (Maurice),Tres bon logiciel,l’année dernière,  + 2 ans,odoo me permet de digitaliser les différents process de l'entreprise,le fait de permettre à des personnes connaissant la programmation d'utiliser la version communautaire et d'y ajouter les fonctionnalité souhaitées,Parfois très compliqué de trouver une bonne documentation pour mieux s'approprier le logicile,Maurice,negative,-1.0,5;;;
"Jonathan,Directeur (Belgique),""Quand le """"Yaka"""" vire au cauchemar"",il y a 2 ans,  + 1 ans,""Bernés par le discours commercial en plein lancement et sérieusement mis à mal dans le développement de nos activités, nous avons perdus plus de 20.000 EUR en coûts de développements qui n'ont finalement aboutis à rien."",""La présentation des commerciaux, les aspects visuels de l'interface."",""La complexité d'utilisation, les coûts faramineux de développements non annoncés, le mauvais fonctionnement du module comptabilité (erreurs de calculs dans les factures de ventes / achats, exports incomplets, etc.)."",Belgique,negative,-1.0,5";;;
"Elodie,Consultante ERP (France),Réussir son projet ERP,il y a 3 ans,  + 2 ans,Globalement épatée par :1/ la couverture fonctionnelle 2/ la facilité d'utilisation et 3/la facilité de configuration.,""Un projet de transition informatique réussi, c'est d'abord faire le choix d'un progiciel adapté à son activité et à son budget et ODOO est souvent une excellente solution "; ensuite, il faut une bonne dose de compétence projet ;" enfin, à ne pas négliger, savoir anticiper les effets induits par ce changement sur l'organisation du travail. Ne sous-estimez pas les impacts de ce changement, ne laissez pas la société éditrice du logiciel seul maître à bord."",Le module point de vente est perfectible.,France,positive,1.0,5";
"Franscislyne,Developpeur (Côte d’Ivoire),Odoo un ERP métier,il y a 3 mois,  6 à 12 mois,Ce que j'aime le plus est qu'Odoo intègre de nombre template prêt à utilisation,""j'utilise Odoo, afin de mettre en place des systèmes de gestion métiers, Odoo est un ERP qui offre de nombreuses possibilités d'utilisation"",Odoo s'utilise exclusivement en ligne et requière un niveau de formation,Côte d’Ivoire,positive,1.0,5";;;
"Pierre,Directeur (Belgique),Grosse déception et de temps et d’argent gaspillés.,il y a 3 ans,  6 à 12 mois,""Cela marche bien pour celui qui n’a pas trop besoin de développements spéciaux ou pour celui qui a un gros budget et le temps , on a hésité avec SAP, et Odoo et nous avons dû retourner vers Mercator car odoo n’a pas respecté ses engagements du départ, on a perdu beaucoup de temps en réunion et explications pour un développement qui semblait sans fin.";;;
"On suppose que celui qui peu utiliser odoo comme programme comptable a nettement plus facile,"",""Nous étions optimistes au départ et odoo qui avait promis des adaptations pour notre secteur et exportations faciles et simples de odoo vers bob comptabilité , c’était innovant !"",""Les coûts et le temps de développement nettement sous-estimé par odoo eux-mêmes, des engagements donnés à la légères et non tenu et donc plus de 10000 euro gaspillés car nous avons dû abandonner le projet car odoo était dans l’incapacité d’établir une exportation vers bob comptabilité comme prétendues très facile au départ."",Belgique,negative,-1.0,5";;;
"Maurice,Reservation - devis et facturation (La Réunion),Logiciel pour petite association plutôt que pour une entreprise,il y a 2 semaines,  + 1 ans,""Très mauvaise expérience, nous avions bien expliqué nos besoins. Tout était Ok mais après la signature et la réalisation, une vraie catastrophe, nous passons plus de temps à établir un devis, une facture qu'avant... Incapacité à avoir les éléments de base dans une facture, mise en page aléatoire..."",Avant la signature du contrat beaucoup d'avantages après aucun,""Aucune compétence réelle. Les développeurs sont incapables de réparer les bugs et les dysfonctionnements : adresse des contacts en double, facture sur deux pages avec sur la deuxième juste l'en-tête... que des galères"",La Réunion,negative,-1.0,5";;;
"Utilisateur vérifié,Utilisateur LinkedIn vérifié,A FUIR,il y a 3 mois,  + 1 ans,""ratée total beaucoup de temps et d'argent perdu, il faut etre conscient qu'en choisissant odoo vous vous engagé à perdre beaucoup d'énergie pour un résultat tout tou petit"",Je n'en vois pas sii ce n'est enrichir le dirigeant qui passe son temps à faire des soirées de gala,""trop complex , pas convivial du tout, tres couteus pour un tout petit résultat"",,negative,-1.0,5";;;
"Océane,content (France),Un bon outil ERP à un prix abordable mais pas très marketing,l’année dernière,  + 1 ans,""en tant que marketeuse je n'ai pas pu mettre en place une sratégie inbound à 100% dessus, il fallait créer des connecteurs avec des outils autres tels que Hubspot ou Plezi et donc rajouter des coûts, de la formation des commerciaux et des process"",""le support disponible et agréable, très à l'écoute.aussi, la capacité à moduler l'outil selon ses besoins à condition d'avoir la ressource de main d'œuvre pour en interne"",les outils marketing peu adapté à l'inboud et très peu intuitif,France,negative,-1.0,5";;;
patrick,gerant (France),Sérigraphie 113,il y a 2 mois,  1 à 5 mois,Je débute dans ce style d'activité et je n'ai pas trouvé mieux et pourtant j'ai fait le tour des soi-disant sites simple d'utilisation et Odoo est le meilleur et je ne bénéficie d’aucun avantage pour dire ce que je pense.,En cas de problème on trouve toujours quelqu'un avec qui le regler.,Rien à dire toujour bien pris en compte par les équipes Odoo.,France,positive,1.0,5;;;
"Philippe,CEO (Suisse),""Bon logiciel, mauvais support"",il y a 2 ans,  + 2 ans,""Logiciel stable mais 18 mois de projet pour migrer de la V8 à la V14, avec un support client lamentable, aucune réactivité, une pression permanente pour acheter de nouveaux modules, des pratiques commerciales malhonnêtes"",""Stabilité, ERP complet, large offre de logiciels connexes et de prestataires"",""Support catastrophique, approche marketing agressive et non professionnelle"",Suisse,negative,-1.0,5";;;
"Fabrice,PDG (France),Logiciel non abouti rempli de bugs,il y a 4 ans,  1 à 5 mois,""Après 2 mois, pleins de bugs. Très compliqué à paramétrer. On passe bcp de tps pour pas grand chose. En France choisir Sellsy qui est top à côté et bcp moins cher.. ex de bugs : des conditions de paiement qui ne conditionnent pas le paiement. Résultat demande à la signature du devis la totalité du montant au lieu de l’acompte.. et j en passe!"",Les points forts sont des faiblesses. Il semble complet. Mais a trop faire on ne pense pas à des détails importants,""Bcp de bugs qu’Odoo se garde bien de dire à la souscription. Parametrage compliqué pourtant très simple avec la concurrence. Surtout éviter les Pack Sucess, respirer vous coûte déjà du tps !"",France,negative,-1.0,5";;;
